nama_posisi,kelompok_jabatan,fungsi,jenjang_utama,level_utama,bidang,sub_bidang,bidang_pembidangan,kata_kunci_pemicu,is_entry_level,jumlah_pegawai,jumlah_unit_induk
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PANGKALAN KERINCI),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PANGKALAN KERINCI),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PANGKEP DAN GI TONASA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PANGKEP DAN GI TONASA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PANGURURAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PANGURURAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PANIKI DAN GI RANOMUUT),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PANIKI DAN GI RANOMUUT),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PANTON LABU),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PANTON LABU),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PANYABUNGAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PANYABUNGAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PARAKAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PARAKAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PARUNGMULYA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PARUNGMULYA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PASAMAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PASAMAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PASIR PUTIH),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PASIR PUTIH),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PATI),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PATI),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PATUHA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PATUHA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PAUH LIMO),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PAUH LIMO),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PAYA GELI),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PAYA GELI),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PAYA PASIR),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PAYA PASIR),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PAYO SELINCAH),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PAYO SELINCAH),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PEKALONGAN DAN COMAL),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PEKALONGAN DAN COMAL),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PEKALONGAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PEKALONGAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PELABUHAN RATU DAN GIS PLTU  PELABUHAN RATU),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PELABUHAN RATU DAN GIS PLTU PELABUHAN RATU),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PEMALANG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PEMALANG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PEMATANG SIANTAR DANGI GUNUNG PARA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PEMATANG SIANTAR DANGI GUNUNG PARA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PERAWANG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PERAWANG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PERBAUNGAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PERBAUNGAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PERURI),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PERURI),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PIP),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PIP),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
"TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PLENGAN, CIKALONG DANLAMAJAN)",TEAM LEADER,"JARINGAN TRANSMISI DAN GARDU INDUK (GI PLENGAN, CIKALONG DANLAMAJAN)",G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PLTMG BAU-BAU DAN GIBAU-BAU),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PLTMG BAU-BAU DAN GIBAU-BAU),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PLTU BARRU DAN GI BALUSU),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PLTU BARRU DAN GI BALUSU),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PLTU INDRAMAYU),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PLTU INDRAMAYU),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PONCOL BARU DAN GIS PONCOL BARU  II),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PONCOL BARU DAN GIS PONCOL BARU II),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PRABUMULIH),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PRABUMULIH),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PULAU BAAI),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PULAU BAAI),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PURBALINGGA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PURBALINGGA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PURWAKARTA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PURWAKARTA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PURWODADI),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PURWODADI),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI PURWOREJO),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI PURWOREJO),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI RAJAPAKSI),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI RAJAPAKSI),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI RANCAEKEK),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI RANCAEKEK),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI RANCAKASUMBA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI RANCAKASUMBA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI RANTAU PRAPAT),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI RANTAU PRAPAT),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI RAWALO),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI RAWALO),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI RAYON UTAMA MAKMUR),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI RAYON UTAMA MAKMUR),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI REMBANG DAN PLTU REMBANG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI REMBANG DAN PLTU REMBANG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI RENGASDENGKLOK),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI RENGASDENGKLOK),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI RENGAT),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI RENGAT),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SAMALANGA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SAMALANGA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SANGGRAHAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SANGGRAHAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SANTOSA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SANTOSA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SAROLANGUN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SAROLANGUN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SAYUNG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SAYUNG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEBALANG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEBALANG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SECANG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SECANG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEDUDUK PUTIH),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEDUDUK PUTIH),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEI GELAM),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEI GELAM),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEI MANGKE),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEI MANGKE),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEI ROTAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEI ROTAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEKAYU),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEKAYU),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SELAYANG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SELAYANG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEMANU),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEMANU),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
"TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEMEN BARU, CILEUNGSIDAN ITP)",TEAM LEADER,"JARINGAN TRANSMISI DAN GARDU INDUK (GI SEMEN BARU, CILEUNGSIDAN ITP)",G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEMEN GROBOGAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEMEN GROBOGAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEMEN JAWA DAN UBRUG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEMEN JAWA DAN UBRUG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEMEN NUSANTARA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEMEN NUSANTARA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SENTUL),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SENTUL),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SEPUTIH BANYAK),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SEPUTIH BANYAK),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SIAK),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SIAK),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SIBOLGA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SIBOLGA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SIBUHUAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SIBUHUAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SIDIKALANG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SIDIKALANG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SIEMPAT RUBE),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SIEMPAT RUBE),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SIMPANG EMPAT),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SIMPANG EMPAT),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SIMPANG TIGA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SIMPANG TIGA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SINAR TAMBANG ARTHA LESTARI),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SINAR TAMBANG ARTHA LESTARI),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SINGKARAK),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SINGKARAK),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SINGKIL),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SINGKIL),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SOLO BARU),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SOLO BARU),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SOLOK),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SOLOK),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SRAGEN DAN MASARAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SRAGEN DAN MASARAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SRI BINTAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SRI BINTAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SRIBAWONO),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SRIBAWONO),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SRONDOL DAN GIS PUDAKPAYUNG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SRONDOL DAN GIS PUDAKPAYUNG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUBANG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUBANG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUBULUSSALAM),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUBULUSSALAM),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUKAMANDI),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUKAMANDI),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUKAMERINDU),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUKAMERINDU),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUKARAME DAN GI JATIAGUNG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUKARAME DAN GI JATIAGUNG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUKATANI GOBEL),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUKATANI GOBEL),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUMADRA),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUMADRA),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUMEDANG),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUMEDANG),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUNGAI JUARO),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUNGAI JUARO),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUNGAI KEDUKAN),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUNGAI KEDUKAN),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
TEAM LEADER JARINGAN TRANSMISI DAN GARDU INDUK (GI SUNGAI PENUH),TEAM LEADER,JARINGAN TRANSMISI DAN GARDU INDUK (GI SUNGAI PENUH),G2,11,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,GARDU INDUK,0,1,1
